iter	Passed	Remaining
417	2731	23409
418	2735	23382
419	2743	23381
420	2747	23357
421	2755	23365
422	2759	23337
423	2766	23334
424	2774	23335
425	2779	23315
426	2786	23314
427	2790	23288
428	2797	23284
429	2805	23292
430	2812	23292
431	2820	23291
432	2824	23268
433	2833	23281
434	2837	23257
435	2845	23257
436	2852	23257
437	2856	23231
438	2864	23235
439	2868	23210
440	2875	23207
441	2879	23182
442	2888	23192
443	2892	23168
444	2899	23166
445	2906	23163
446	2911	23139
447	2919	23144
448	2923	23121
449	2930	23120
450	2938	23120
451	2945	23123
452	2953	23123
453	2957	23103
454	2964	23100
455	2971	23097
456	2976	23076
457	2983	23071
458	2987	23049
459	2994	23044
460	3002	23051
461	3007	23030
462	3014	23027
463	3018	23003
464	3025	23001
465	3034	23010
466	3040	23005
467	3047	23002
468	3052	22980
469	3060	22988
470	3065	22966
471	3072	22963
472	3079	22959
473	3084	22942
474	3091	22939
475	3098	22937
476	3102	22917
477	3110	22918
478	3114	22897
479	3122	22894
480	3128	22891
481	3133	22869
482	3142	22879
483	3146	22855
484	3153	22852
485	3160	22851
486	3168	22858
487	3173	22841
488	3181	22841
489	3188	22842
490	3193	22822
491	3201	22825
492	3205	22803
493	3212	22801
494	3219	22798
495	3224	22778
496	3232	22780
497	3236	22758
498	3243	22755
499	3250	22752
500	3257	22750
501	3261	22729
502	3268	22723
503	3273	22706
504	3280	22705
505	3288	22704
506	3292	22683
507	3299	22682
508	3306	22680
509	3314	22679
510	3318	22660
511	3326	22658
512	3333	22659
513	3338	22640
514	3345	22637
515	3352	22636
516	3356	22614
517	3364	22614
518	3368	22595
519	3376	22597
520	3383	22595
521	3388	22576
522	3395	22574
523	3402	22571
524	3409	22567
525	3414	22549
526	3422	22553
527	3427	22536
528	3434	22534
529	3441	22533
530	3446	22513
531	3453	22511
532	3461	22518
533	3469	22517
534	3476	22518
535	3481	22498
536	3489	22502
537	3493	22483
538	3501	22481
539	3505	22462
540	3514	22469
541	3518	22448
542	3525	22445
543	3532	22441
544	3537	22424
545	3545	22427
546	3552	22425
547	3559	22420
548	3567	22424
549	3572	22406
550	3579	22404
551	3586	22399
552	3590	22380
553	3598	22383
554	3603	22365
555	3610	22362
556	3618	22364
557	3625	22362
558	3632	22357
559	3636	22338
560	3644	22344
561	3649	22324
562	3656	22320
563	3663	22317
564	3667	22300
565	3675	22301
566	3680	22283
567	3687	22279
568	3694	22276
569	3699	22263
570	3707	22261
571	3713	22257
572	3718	22236
573	3725	22235
574	3729	22216
575	3737	22214
576	3741	22195
577	3748	22192
578	3756	22196
579	3763	22193
580	3768	22175
581	3775	22174
582	3782	22172
583	3787	22153
584	3793	22147
585	3798	22129
586	3806	22131
587	3813	22127
588	3820	22124
589	3824	22106
590	3833	22110
591	3837	22093
592	3845	22092
593	3852	22090
594	3859	22087
595	3864	22069
596	3871	22067
597	3878	22065
598	3883	22048
599	3890	22047
600	3897	22044
601	3902	22027
602	3911	22035
603	3916	22019
604	3923	22017
605	3930	22013
606	3938	22016
607	3943	21999
608	3950	21995
609	3956	21990
610	3961	21973
611	3969	21973
612	3973	21955
613	3980	21952
614	3987	21949
615	3992	21931
616	3999	21931
617	4004	21915
618	4011	21912
619	4018	21908
620	4023	21891
621	4030	21890
622	4035	21872
623	4042	21868
624	4048	21864
625	4053	21845
626	4060	21842
627	4066	21837
628	4071	21818
629	4078	21818
630	4083	21803
631	4091	21802
632	4098	21799
633	4102	21782
634	4111	21786
635	4118	21782
636	4125	21778
637	4129	21761
638	4137	21763
639	4142	21748
640	4149	21743
641	4155	21737
642	4160	21720
643	4168	21720
644	4172	21703
645	4179	21698
646	4185	21693
647	4190	21675
648	4197	21673
649	4202	21656
650	4209	21652
651	4215	21648
652	4220	21631
653	4227	21628
654	4231	21611
655	4238	21605
656	4246	21605
657	4250	21589
658	4258	21590
659	4262	21572
660	4269	21569
661	4276	21564
662	4281	21547
663	4288	21547
664	4293	21531
665	4300	21527
666	4307	21524
667	4312	21509
668	4319	21506
669	4326	21504
670	4331	21489
671	4338	21487
672	4346	21486
673	4353	21484
674	4360	21480
675	4365	21465
676	4373	21466
677	4377	21449
678	4384	21446
679	4391	21442
680	4396	21425
681	4403	21423
682	4410	21419
683	4415	21404
684	4423	21407
685	4428	21391
686	4434	21386
687	4441	21383
688	4449	21384
689	4454	21369
690	4461	21364
691	4465	21348
692	4472	21344
693	4480	21343
694	4484	21326
695	4488	21308
696	4496	21308
697	4503	21306
698	4508	21292
