iter	F1	Logloss
154	0.7432091285	0.3816155922
155	0.7435566577	0.3814107674
156	0.7435542064	0.3812595593
157	0.7436766389	0.3811450361
158	0.7438243726	0.3810387436
159	0.7439331624	0.3808980001
160	0.7440034106	0.3807862695
161	0.7441536951	0.3806209811
162	0.7444119742	0.3804036635
163	0.7445691792	0.3802566294
164	0.7448344675	0.3800566549
165	0.7449815626	0.3799503035
166	0.7450437628	0.3798249924
167	0.7451780291	0.3796176397
168	0.7454056477	0.3795114354
169	0.7455027255	0.3793808919
170	0.7455209582	0.3792338285
171	0.745863533	0.3790656006
172	0.7459774299	0.3789382024
173	0.7462116546	0.3788442852
174	0.7463283258	0.3786806724
175	0.7464343112	0.3785403698
176	0.7464944897	0.3784373695
177	0.7465952872	0.3783451866
178	0.7468276457	0.3781948015
179	0.7468822973	0.3780742524
180	0.7471653742	0.3779276886
181	0.747310955	0.3777863278
182	0.7473100823	0.3776809759
183	0.747237368	0.3775661295
184	0.7474796102	0.3774640404
185	0.7474206893	0.3773174767
186	0.7475663482	0.3771827004
187	0.7475358084	0.37707776
188	0.7475551525	0.3769799921
189	0.747664493	0.3768500659
190	0.7477834498	0.3766073216
191	0.7478827434	0.3764402401
192	0.7480497387	0.3762616651
193	0.7481939509	0.3761722454
194	0.7483564871	0.3760863236
195	0.7484798478	0.3759511064
196	0.7484911032	0.3758424917
197	0.7487469793	0.3756970743
198	0.748822483	0.3756130045
199	0.7488757132	0.3754764056
200	0.7488183471	0.3753688491
201	0.7488489961	0.3752215211
202	0.7490869636	0.3750518823
203	0.7492128472	0.3749766897
204	0.7492827302	0.374906318
205	0.7492911748	0.3747880029
206	0.7494953449	0.3746733328
207	0.7497079227	0.3745651296
208	0.7499245313	0.3744327048
209	0.7499217317	0.3743267357
210	0.7500069885	0.3741948401
211	0.7502976706	0.3739418074
212	0.7503521678	0.3738284601
213	0.7504108762	0.3737002683
214	0.7506232462	0.373496443
215	0.7507560216	0.3733501732
216	0.7509780689	0.3732252148
217	0.7512015738	0.3730592503
218	0.75124759	0.3729559267
219	0.7514066525	0.3728630089
220	0.7517163941	0.3726592424
221	0.7518933893	0.3725592992
222	0.7519086741	0.3724136467
223	0.7518722252	0.3723528872
224	0.7520883588	0.3722130255
225	0.7522501396	0.3720952983
226	0.7524300302	0.3720299531
227	0.7525656918	0.3719205153
228	0.7527522833	0.3718050515
229	0.7528346444	0.371693027
